order_id,order_date,region,customer_segment,category,sub_category,ship_mode,quantity,unit_price,discount,sales,profit
ORD-1000,2023-04-13,East,Corporate,Groceries,Snacks,Standard,3,13.95,0.05,39.76,14.65
ORD-1001,2024-01-08,West,Corporate,Groceries,Bakery,Standard,4,13.95,0.15,47.43,13.95
ORD-1002,2024-01-21,North,Consumer,Groceries,Snacks,Standard,3,7.24,0.0,21.72,8.69
ORD-1003,2024-04-20,East,Consumer,Groceries,Bakery,Express,3,12.47,0.0,37.41,14.96
ORD-1004,2023-09-01,North,Corporate,Electronics,Headphones,Standard,4,204.95,0.0,819.8,327.92
ORD-1005,2024-03-30,West,Consumer,Groceries,Snacks,Same Day,4,13.69,0.0,54.76,21.9
ORD-1006,2024-01-23,South,Consumer,Furniture,Tables,Standard,4,62.37,0.05,237.01,87.32
ORD-1007,2023-09-28,South,Consumer,Groceries,Snacks,Standard,2,10.3,0.05,19.57,7.21
ORD-1008,2023-08-05,West,Consumer,Groceries,Bakery,Standard,7,6.56,0.1,41.33,13.78
ORD-1009,2024-08-15,North,Corporate,Clothing,Jackets,Same Day,2,23.6,0.0,47.2,18.88
ORD-1010,2023-05-15,West,Consumer,Electronics,Cameras,Standard,3,167.02,0.05,476.01,175.37
ORD-1011,2024-12-26,North,Consumer,Clothing,Jackets,Same Day,3,25.65,0.1,69.26,23.09
ORD-1012,2023-08-06,East,Consumer,Clothing,Shirts,Standard,4,22.97,0.15,78.1,22.97
ORD-1013,2024-02-11,East,Consumer,Toys,Puzzles,Same Day,7,39.38,0.0,275.66,110.26
ORD-1014,2023-03-27,South,Corporate,Groceries,Beverages,Express,4,16.16,0.05,61.41,22.63
ORD-1015,2023-11-27,West,Consumer,Furniture,Sofas,Same Day,1,196.98,0.0,196.98,78.79
ORD-1016,2024-09-24,North,Consumer,Groceries,Snacks,Standard,1,9.11,0.0,9.11,3.64
ORD-1017,2024-11-14,West,Consumer,Clothing,Shoes,Express,1,75.32,0.0,75.32,30.13
ORD-1018,2024-03-17,South,Corporate,Groceries,Bakery,Express,1,13.01,0.05,12.36,4.55
ORD-1019,2024-09-29,West,Consumer,Furniture,Chairs,Standard,7,175.46,0.1,1105.4,368.47
ORD-1020,2023-07-22,East,Corporate,Clothing,Shirts,Standard,7,39.46,0.0,276.22,110.49
ORD-1021,2024-08-31,East,Consumer,Electronics,Cameras,Standard,4,266.27,0.0,1065.08,426.03
ORD-1022,2024-02-07,East,Consumer,Furniture,Sofas,Express,7,208.96,0.15,1243.31,365.68
ORD-1023,2024-10-02,North,Consumer,Clothing,Trousers,Same Day,6,29.02,0.1,156.71,52.24
ORD-1024,2023-09-20,South,Small Business,Groceries,Bakery,Standard,3,15.28,0.0,45.84,18.34
ORD-1025,2023-08-21,West,Corporate,Clothing,Jackets,Express,6,46.02,0.1,248.51,82.84
ORD-1026,2024-09-19,West,Corporate,Clothing,Shirts,Express,1,17.8,0.1,16.02,5.34
ORD-1027,2023-12-04,East,Corporate,Furniture,Tables,Standard,1,243.11,0.0,243.11,97.24
ORD-1028,2024-02-02,West,Consumer,Toys,Dolls,Express,4,21.36,0.05,81.17,29.91
